Site,PlantID,FocalPlantCover,OtherPlantCover,NumPlantsinQuad,PlantStage,ht_cm,NumLeaves,NumLeavesHerb,PercHerbPlant,PercLf1,PercLf2,PercLf3,PercLf4,PercLf5,PercLf6,PercLf7,PercLf8,PercLf9,NNdist,Numberofpetals ,Numberofpetalsherb,Percentageofdamagepetals ,PercHerbpetal1,PercHerbpetal2,PercHerbpetal3,PercHerbpetal4,PercHerbpetal5,PercHerbpetal6,PercHerbpetal7,PercHerbpetal8,PerHerbpistil+stamen,Red_NonRed,Flowercolor,Flowersexual ,Weightof100seeds(g),Weightofoneseed(g),Weightofallseeds(g) ,NumberoftheSeeds
Megido,1,10,0.05,4,Flower ,19,4,3,3,5,10,1,0,,,,,,38,6,0,0,0,,,,,,,,0,Non_Red,Pink-white,Female ,,,,
Megido,2,10,0.05,4,Flower ,21,3,3,3,20,3,3,,,,,,,38,6,6,5,20,3,3,2,1,2,,,0,Non_Red,White ,Male,,0.0005,0.0025,5
Megido,3,20,5,4,Flower ,20,2,2,1,1,,,,,,,,,18,6,0,0,0,,,,,,,,0,Non_Red,Pink-white,Female ,0.2147,0.002147,0.291,135.5379599
Megido,4,20,5,4,Flower ,15,2,2,8,5,10,,,,,,,,18,6,6,2,5,3,1,1,1,3,,,0,Non_Red,Pink-white,Male ,,0.0009,0.0009,1
Megido,5,20,50,5,Flower ,19,2,1,15,33,,,,,,,,,15,7,3,0.5,0.5,0.5,0.5,,,,,,0,Non_Red,White ,Female ,0.0181,0.000181,0.0293,161.878453
Megido,6,20,50,5,Flower ,18,2,2,0.5,0.5,3,,,,,,,,15,6,2,3,10,3,,,,,,,0,Non_Red,Pink-white,Female ,0.0289,0.000289,0.0333,115.2249135
Megido,7,15,20,6,Flower ,13,2,2,5,1,3,,,,,,,,28,6,0,0,0,,,,,,,,0,Non_Red,Pink-white,Female ,0,0,0,0
Megido,8,15,20,6,Flower ,16,3,1,1,5,,,,,,,,,28,5,5,30,10,15,10,30,70,,,,0,Non_Red,purple,Male ,0,0,0,0
Megido,9,50,30,12,Flower ,17,3,0,0,,,,,,,,,,21,6,6,3,10,5,3,3,1,5,,,0,Non_Red,White ,Male ,0.0129,0.000129,0.03876,300.4651163
Megido,10,50,30,12,Flower ,20,4,2,0.5,3,5,,,,,,,,21,6,6,3,5,8,3,1,3,3,,,0,Non_Red,purple,Male ,,,,
Megido,11,20,30,7,Flower ,24,2,0,0,,,,,,,,,,14,6,6,3,5,1,8,1,5,2,,,0,Non_Red,pink,Male ,0.0431,0.000431,0.0796,184.6867749
Megido,12,20,30,7,Flower ,20,4,3,4,10,0.5,5,,,,,,,14,6,0,0,0,,,,,,,,0,Non_Red,pink,Male ,0.0179,0.000179,0.0316,176.5363128
Megido,13,10,10,10,Flower ,25,2,1,2,4,,,,,,,,,0,6,6,30,30,30,30,30,30,30,,,10,Non_Red,White ,Male ,,,,
Megido,14,10,10,10,Flower ,22,2,1,6,10,,,,,,,,,0,6,6,35,30,15,20,50,30,30,,,0,Non_Red,pink,Male ,,,,
Megido,15,10,10,7,Flower ,14,2,2,1,1,1,,,,,,,,29,6,5,6,10,2,10,8,3,0,,,0,Non_Red,purple,Male ,,,,
Megido,16,10,10,7,Flower ,13,3,2,3,1,5,,,,,,,,29,6,5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0,Red,Red,Female,,,,
Megido,18,30,5,8,Flower ,13,3,3,4,1,1,10,,,,,,,24,5,0,0,0,,,,,,,,0,Non_Red,Pink-white,Female ,,,,
Megido,17,30,5,8,Flower ,20,3,2,1,5,1,,,,,,,,24,5,0,0,0,,,,,,,,0,Non_Red,Pink-white,Female ,,,,
Megido,19,30,10,10,Flower ,13,3,3,1,2,1,2,,,,,,,32,6,2,3,10,5,,,,,,,0,Non_Red,purple,Female ,0.0451,0.000451,0.051,113.0820399
Megido,20,30,10,10,Flower ,28,4,2,0.5,1,3,,,,,,,,32,6,1,1,5,,,,,,,,0,Non_Red,White ,Female ,0.0197,0.000197,0.0841,426.9035533
Megido,21,30,10,9,Flower ,20,4,2,2,10,5,,,,,,,,0,6,3,1.5,3,3,3,,,,,,0,Non_Red,purple,Male ,0.0308,0.000308,0.054,175.3246753
Megido,22,30,10,9,Flower ,18,3,2,5,2,10,,,,,,,,0,8,1,0.5,1,,,,,,,,0,Non_Red,White ,Male ,0.0389,0.000389,0.1192,306.4267352
Megido,23,10,5,4,Flower ,20,3,3,6,15,1,2,,,,,,,57,6,6,8,2,3,2,10,10,15,,,0,Red,Red,Female ,0.0258,0.000258,0.0481,186.4341085
Megido,24,10,5,4,Flower ,23,4,3,4,1,5,10,,,,,,,57,5,3,3,5,2,2,,,,,,0,Non_Red,Pink-white,Male ,0.0438,0.000438,0.1585,361.8721461
Megido,25,30,15,6,Flower ,22,1,1,1,,,,,,,,,,0,6,1,0.5,2,,,,,,,,0,Non_Red,White ,Male ,0.0375,0.000375,0.101,269.3333333
Megido,26,30,15,6,Flower ,23,3,2,3,5,1,,,,,,,,0,6,6,1,2,2,1,2,1,1,,,0,Non_Red,Pink-white,Male ,0.043,0.00043,0.1328,308.8372093
Megido,27,50,10,14,Flower ,31,3,3,8,10,10,5,,,,,,,0,6,6,1,1,1,1,1,1,1,,,0,Non_Red,purple,Female ,,,,
Megido,28,50,10,14,Flower ,20,4,4,15,33,5,1,10,,,,,,0,6,2,1,5,1,,,,,,,0,Non_Red,White ,Female ,,,,
Megido,29,10,5,6,Flower ,26,2,2,11,20,5,,,,,,,,48,6,6,3,5,10,2,1,1,1,,,0,Non_Red,Pink-white,Male ,,,,
Megido,30,10,5,6,Flower ,25,5,3,20,5,50,5,,,,,,,48,6,2,0.5,2,2,,,,,,,0,Non_Red,White ,Male ,,,,
Megido,31,24,5,8,Flower ,19,2,2,2,2,2,,,,,,,,56,6,0,0,0,,,,,,,,0,Non_Red,purple,Female  ,0.0198,0.000198,0.0371,187.3737374
